symbol,display_name,volume_24h,candles_count,trades,total_pnl,return_pct,profit_factor,win_rate_pct,expectancy,max_drawdown_pct,robustness_score
SEI,SEI,1433835.447995,5001,94,-233.00467308492864,-23.300467308492877,0.8205790108581977,38.297872340425535,-2.478773117924773,-41.377842685463136,-44.72151837246955
OM,OM,344450.507214,5001,101,-247.78491716178587,-24.778491716178607,0.8528271336198489,34.65346534653465,-2.4533160115028303,-43.08237478118344,-46.19670816549955
BCH,BCH,2670407.56622,5001,84,-250.78882990977226,-25.078882990977192,0.7905866887716548,41.66666666666667,-2.9855813084496696,-39.46518771668586,-47.09589853717475
PNUT,PNUT,468181.141698,5001,93,-252.28743325811092,-25.228743325811042,0.8434648034783294,37.634408602150536,-2.7127680995495798,-48.46738217802353,-50.39467923663048
XPL,XPL,19915472.372119006,4189,116,-258.6529631130441,-25.865296311304377,0.8924049841377657,49.137931034482754,-2.2297669233883113,-60.318065335378016,-54.174357395575626
MNT,MNT,373236.8533639999,5001,120,-258.85547247895613,-25.885547247895612,0.8782513328997759,39.166666666666664,-2.1571289373246345,-46.94396714755555,-47.10214714217477
ALGO,ALGO,209110.547425,5001,78,-277.63663944356915,-27.76366394435692,0.7546927085908823,35.8974358974359,-3.559444095430374,-47.633934374268,-55.2531262550377
MEME,MEME,249906.9432139999,5001,115,-282.04362488107444,-28.204362488107428,0.8334375264667685,40.0,-2.45255325983543,-47.57356367483224,-50.08748547092905
FET,FET,457880.19682,5001,90,-282.517324777362,-28.25173247773619,0.8186897680056369,38.88888888888889,-3.1390813864151332,-40.97038994810117,-50.26513579918347
VVV,VVV,397523.0369360001,5001,87,-289.1390397257063,-28.91390397257062,0.8232938897343172,36.7816091954023,-3.3234372382265094,-37.76221595872263,-49.8800668594506
WIF,WIF,1661984.9415099993,5001,94,-291.4596662543804,-29.145966625438046,0.8423602375677706,39.361702127659576,-3.1006347473870255,-42.06854186295872,-51.096040151705864
IO,IO,384880.9070599998,5001,88,-296.3434854370756,-29.634348543707578,0.8187574466565037,40.909090909090914,-3.367539607239496,-36.19131320013077,-49.68597829131686
AAVE,AAVE,12468212.391899997,5001,91,-334.7931191915535,-33.47931191915527,0.8061895900002458,37.362637362637365,-3.679045265841247,-43.918029066412565,-57.05486956194022
DOGE,DOGE,10424833.038960002,5001,102,-336.35202982142414,-33.63520298214241,0.7665672088985834,40.19607843137255,-3.2975689198178837,-40.5693029979494,-53.588465089264716
